direccion_completa,lat,long,estado,horas,nombre,fecha
"Sinclair 3100, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5739608","-58.422962","hay-luz",\N,"Palermo","2013-12-24 03:03:30"
"La Rioja 2001, Parque Patricios, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6347373","-58.4059043","hay-luz",\N,"Parque Patricios","2013-12-24 03:03:46"
"Av Cerviño 4700, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5750915","-58.4235031","hay-luz",\N,"Palermo","2013-12-24 03:04:44"
"Mariano Acha 1063, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5827995","-58.4720314","corte-amplio","12","Villa Ortúzar","2013-12-24 09:27:29"
"Ceretti 2515, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5771359","-58.4938704","corte-cuadra","5","Villa Urquiza","2013-12-24 09:31:11"
"Sinclair 3139, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5736377","-58.4227337","corte-amplio","2","Palermo","2013-12-24 10:59:14"
"Sinclair 2500, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5763394","-58.4242608","corte-amplio","23","Palermo","2013-12-24 11:03:40"
"Antonio Beruti 2401, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5929118","-58.4003608","hay-luz",\N,"Recoleta","2013-12-24 15:25:46"
"Antonio Beruti 2300, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5934071","-58.3991771","hay-luz",\N,"Recoleta","2013-12-24 15:26:47"
"Mariano Acha 1063, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5827995","-58.4720314","corte-amplio","4","Villa Ortúzar","2013-12-24 15:29:52"
"Antonio Beruti 2400, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5929482","-58.4003522","hay-luz",\N,"Recoleta","2013-12-24 15:29:53"
"Sinclair 3139, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5736377","-58.4227337","hay-luz",\N,"Palermo","2013-12-24 15:40:25"
"Cullen 5690, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5764214","-58.4943187","corte-amplio","5","Villa Urquiza","2013-12-24 16:19:13"
"O Higgins 1695, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5636434","-58.4496623","hay-luz",\N,"Belgrano","2013-12-24 16:29:00"
"Av Directorio 3000, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6359848","-58.4690032","corte-amplio","48","Flores","2013-12-24 16:48:45"
"Av Directorio 2900, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6355427","-58.4674644","corte-amplio","36","Flores","2013-12-24 16:50:00"
"Mariano Acha 1063, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5827995","-58.4720314","hay-luz",\N,"Villa Ortúzar","2013-12-24 16:54:41"
"Lucio Meléndez 2023, Don Torcuato, Buenos Aires, Argentina","-34.4976225","-58.6263603","hay-luz",\N,"Tigre","2013-12-24 16:59:22"
"Cullen 5690, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5764214","-58.4943187","hay-luz",\N,"Villa Urquiza","2013-12-24 17:10:07"
"Mariano Acha 1063, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5827995","-58.4720314","hay-luz",\N,"Villa Ortúzar","2013-12-24 17:14:51"
"Mariano Acha 1063, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5827995","-58.4720314","hay-luz",\N,"Villa Ortúzar","2013-12-24 17:21:59"
"Mariano Acha 1063, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5827995","-58.4720314","hay-luz",\N,"Villa Ortúzar","2013-12-24 17:22:35"
"Ceretti 2515, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5771359","-58.4938704","hay-luz",\N,"Villa Urquiza","2013-12-24 17:23:34"
"Mariano Acha 1063, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5827995","-58.4720314","hay-luz",\N,"Villa Ortúzar","2013-12-24 17:24:29"
"Cullen 5690, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5764214","-58.4943187","hay-luz",\N,"Villa Urquiza","2013-12-24 17:27:05"
"Marcos Sastre, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6132812","-58.5047493","hay-luz",\N,"Monte Castro","2013-12-24 17:27:10"
"Sinclair 3139, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5736377","-58.4227337","hay-luz",\N,"Palermo","2013-12-24 17:31:10"
"Sinclair 3300, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5718261","-58.4217654","hay-luz",\N,"Palermo","2013-12-24 17:33:39"
"Demaría 4600, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5744815","-58.4217312","hay-luz",\N,"Palermo","2013-12-24 17:41:10"
"Sinclair, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5739555","-58.4229393","hay-luz",\N,"Palermo","2013-12-24 17:42:09"
"Donado 810, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5868048","-58.4708619","hay-luz",\N,"Villa Ortúzar","2013-12-24 17:47:39"
"Marcos Sastre, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6132812","-58.5047493","hay-luz",\N,"Monte Castro","2013-12-24 18:02:10"
"Quirno 400, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6359595","-58.4690119","hay-luz",\N,"Flores","2013-12-24 18:15:47"
"Mendoza 5440, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5791425","-58.4871523","hay-luz",\N,"Villa Urquiza","2013-12-24 18:35:55"
"Baigorria 2370, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.598147","-58.4833819","hay-luz",\N,"Villa del Parque","2013-12-24 18:36:41"
"Av Asamblea 34, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6315229","-58.4262411","corte-amplio","3","Parque Chacabuco","2013-12-24 18:37:30"
"Av Caseros, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6354446","-58.396183","corte-amplio","6","Parque Patricios","2013-12-24 18:38:23"
"Hortiguera 400, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6271412","-58.4454915","hay-luz",\N,"Caballito","2013-12-24 18:38:35"
"Eduardo Acevedo 535, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6096834","-58.432474","hay-luz",\N,"Caballito","2013-12-24 18:41:23"
"Sinclair 3139, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5736377","-58.4227337","hay-luz","3","Palermo","2013-12-24 18:41:50"
"Serrano 439, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5969247","-58.4432479","corte-amplio","48","Villa Crespo","2013-12-24 18:42:06"
"Av Lastra, Buenos Aires, Argentina","-34.6073418","-58.5216675","corte-amplio","48","Villa Devoto","2013-12-24 18:47:24"
"Besares 4705, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5549763","-58.4925464","hay-luz",\N,"Saavedra","2013-12-24 18:49:55"
"Olleros 1828, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5655398","-58.4385596","hay-luz",\N,"Palermo","2013-12-24 18:58:44"
"Av Angel Gallardo 1073, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6072178","-58.4452856","hay-luz",\N,"Villa Crespo","2013-12-24 19:04:33"
"Av Callao 900, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5986957","-58.3930498","hay-luz",\N,"Recoleta","2013-12-24 19:07:05"
"Fraga 86, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.587298","-58.4466054","hay-luz",\N,"Chacarita","2013-12-24 19:13:22"
"Espinosa 2015, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6026298","-58.4598167","hay-luz",\N,"Paternal","2013-12-24 19:19:03"
"Barzana 1200, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5892371","-58.4797235","hay-luz",\N,"Parque Chas","2013-12-24 19:24:36"
"Gral. Miguel Soler 259, Malvinas Argentinas, Buenos Aires, Argentina","-34.8097432","-58.405775","hay-luz",\N,"Almirante Brown","2013-12-24 19:25:01"
"Larrea 725, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6005701","-58.4023896","corte-cuadra","168","Balvanera","2013-12-24 19:26:43"
