"barrio","cortes"
"Caballito",206
"Palermo",144
"Almagro",131
"Flores",121
"Villa Crespo",100
"Balvanera",92
"Belgrano",89
"Recoleta",87
"Villa del Parque",85
"Lanús",69
"Avellaneda",63
"Villa Santa Rita",58
"Villa Urquiza",56
"La Matanza",52
"Quilmes",51
"Vicente López",51
"Parque Chacabuco",50
"Monte Castro",48
"Lomas de Zamora",46
"Villa Gral. Mitre",46
"Boedo",46
"Villa Devoto",45
"Núñez",44
"Tres de Febrero",41
"San Isidro",40
"Mataderos",39
"San Cristóbal",33
"Parque Avellaneda",30
"Vélez Sársfield",30
"Liniers",29
"Saavedra",27
"General San Martín",27
"Floresta",26
"Barracas",26
"Morón",25
"San Fernando",25
"Villa Lugano",24
"Colegiales",23
"Parque Patricios",23
"Constitución",22
"Boca",22
"San Nicolás",21
"Villa Luro",20
"Paternal",20
"Monserrat",19
"Almirante Brown",17
"Berazategui",16
"Versalles",16
"Rosario",16
"Parque Chas",12
"Villa Pueyrredón",12
"Esteban Echeverría",12
"La Plata",12
"Nueva Pompeya",12
"Hurlingham",11
"Villa Real",11
"Coghlan",10
"San Telmo",10
"Villa Ortúzar",9
"Merlo",9
"Chacarita",8
"Ituzaingó",8
"Tigre",7
"Agronomía",7
"San Miguel",6
"Retiro",6
"Ezeiza",4
"Córdoba",3
"Florencio Varela",3
"Moreno",3
"José C. Paz",3
"Villa Riachuelo",2
"Mendoza",1
"Malvinas Argentinas",1
"Villa Soldati",1
