Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,AFG,31.132097561,31.4752926829,31.8320243902,32.2042682927,32.5910487805,32.9898780488,33.3967317073,33.8091463415,34.2230731707,34.6375121951,35.0559756098,35.4814146341,35.9168780488,36.3613170732,36.8107317073,37.2571219512,37.6909756098,38.1062926829,38.4965853659,38.8618536585,39.2041219512,39.5269512195,39.8398292683,40.1492439024,40.4586829268,40.7705853659,41.0848780488,41.399,41.7109268293,42.021195122,42.3293658537,42.636,42.9397317073,43.242097561,43.5426585366,43.840902439,44.136804878,44.429804878,44.7213414634,45.0098536585,45.2928536585,45.5672682927,45.8331463415,46.0924390244,46.351195122,46.6164146341,46.899097561,47.2053170732,47.5385609756,47.8988536585
Albania,ALB,62.2543658537,63.2734634146,64.1623414634,64.887097561,65.4376829268,65.8294390244,66.1000731707,66.311804878,66.5164390244,66.7384634146,66.9894390244,67.2655121951,67.5444634146,67.8135121951,68.0722682927,68.3258292683,68.5777073171,68.8343414634,69.0996341463,69.3770731707,69.6740487805,70.0004634146,70.3512439024,70.7154146341,71.0764878049,71.3975853659,71.6373658537,71.7749268293,71.8093658537,71.7542195122,71.6454390244,71.5314878049,71.4652195122,71.487,71.6177317073,71.8702926829,72.2410731707,72.6960731707,73.197804878,73.7218292683,74.2387317073,74.7236585366,75.1612195122,75.5420243902,75.8591219512,76.112,76.3096341463,76.4734146341,76.6207560976,76.761097561
Algeria,DZA,46.9853902439,47.5183658537,48.0688536585,48.6398292683,49.230804878,49.8382926829,50.4543414634,51.0729268293,51.6895853659,52.3027804878,52.9180243902,53.5412926829,54.1790731707,54.8353170732,55.5095121951,56.1955609756,56.8833902439,57.5654878049,58.2408780488,58.9140731707,59.6036829268,60.3363170732,61.1255609756,61.9685121951,62.8491707317,63.736,64.5879512195,65.366902439,66.0462682927,66.6150731707,67.0717804878,67.4289756098,67.719195122,67.976,68.2178780488,68.4658780488,68.7344878049,69.0256585366,69.3383658537,69.6730487805,70.0241707317,70.3811219512,70.729902439,71.059,71.364902439,71.6461463415,71.9052926829,72.150902439,72.3890487805,72.6227560976
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,32.9853414634,33.3862195122,33.787097561,34.1879512195,34.5883170732,34.9891707317,35.3915121951,35.7958536585,36.201195122,36.6060487805,37.0114146341,37.4192926829,37.8262195122,38.2276585366,38.6156585366,38.9792439024,39.305,39.5854146341,39.8194390244,40.0089756098,40.161804878,40.2902195122,40.4100487805,40.5297804878,40.6554878049,40.7803414634,40.8905609756,40.9779756098,41.041804878,41.0912439024,41.1414146341,41.2088780488,41.3145365854,41.478195122,41.7162195122,42.0509268293,42.5016097561,43.0616341463,43.7143170732,44.439097561,45.2049268293,45.9733170732,46.7119268293,47.3933658537,48.0037073171,48.5384390244,49.0071463415,49.4352926829,49.8474146341,50.2510243902
Antigua and Barbuda,ATG,62.3536585366,,,,,,,,,,66.8536585366,,,,,,,,,,,,72.2480487805,,,,,73.0082926829,,,,,74.2463414634,,,,,74.7317073171,,,,,75.2804878049,,,,,,,
Argentina,ARG,65.1751463415,65.2966341463,65.3892439024,65.4655365854,65.5390731707,65.6258780488,65.7409512195,65.8882439024,66.0722195122,66.2933170732,66.5485121951,66.8302926829,67.1246097561,67.4204390244,67.7132682927,68.0030731707,68.2918292683,68.5840487805,68.8812439024,69.1794390244,69.4696097561,69.7417804878,69.9904390244,70.2121219512,70.4093170732,70.5865121951,70.7537073171,70.9223902439,71.1005365854,71.2921707317,71.4982926829,71.7179268293,71.9440731707,72.1717560976,72.3984390244,72.6236341463,72.8462926829,73.0673902439,73.2864634146,73.5034634146,73.7179756098,73.9295121951,74.1386097561,74.3442926829,74.5455853659,74.7414634146,74.9314390244,75.1149756098,75.2925365854,75.464097561
Armenia,ARM,65.8539512195,66.2754634146,66.7014878049,67.1300243902,67.558097561,67.9847317073,68.4093902439,68.8266341463,69.2264146341,69.5987073171,69.9244390244,70.1830487805,70.3675121951,70.4793170732,70.5239756098,70.5275121951,70.5234634146,70.5364146341,70.576,70.6352926829,70.680097561,70.6587317073,70.5352195122,70.2919268293,69.9390487805,69.5044146341,69.0312195122,68.5769268293,68.1938536585,67.9126097561,67.7572439024,67.7360731707,67.8285365854,68.0127560976,68.2789268293,68.6204634146,69.0294390244,69.4916341463,69.9855365854,70.4924878049,70.9894390244,71.4580487805,71.8896097561,72.2783902439,72.6164146341,72.9007073171,73.1342195122,73.3278292683,73.4959512195,73.6455365854
Aruba,ABW,65.5693658537,65.9880243902,66.3655365854,66.7139756098,67.0442926829,67.3697560976,67.699,68.0346829268,68.3771463415,68.7284146341,69.0861463415,69.446097561,69.7986585366,70.1396585366,70.4652926829,70.777804878,71.0808292683,71.3777073171,71.6697804878,71.9528536585,72.2201463415,72.4623414634,72.673195122,72.8490243902,72.9897560976,73.0979756098,73.1793658537,73.2427073171,73.2962439024,73.3444878049,73.3899756098,73.4331219512,73.4717560976,73.5053170732,73.5357560976,73.5636097561,73.5894390244,73.614804878,73.6422926829,73.6753902439,73.720097561,73.7823902439,73.864195122,73.966,74.0877560976,74.2249756098,74.3741463415,74.5282926829,74.6819268293,74.8315365854
