"nombre","dia","hora","cantidad"
"Palermo","24/12",3,2
"Parque Patricios","24/12",3,1
"Villa Urquiza","24/12",9,1
"Villa Ortúzar","24/12",9,1
"Palermo","24/12",10,1
"Palermo","24/12",11,1
"Recoleta","24/12",15,3
"Villa Ortúzar","24/12",15,1
"Palermo","24/12",15,1
"Flores","24/12",16,2
"Villa Ortúzar","24/12",16,1
"Tigre","24/12",16,1
"Villa Urquiza","24/12",16,1
"Belgrano","24/12",16,1
"Villa Ortúzar","24/12",17,5
"Palermo","24/12",17,4
"Villa Urquiza","24/12",17,3
"Monte Castro","24/12",17,1
"Caballito","24/12",18,2
"Palermo","24/12",18,2
"Villa del Parque","24/12",18,1
"Parque Chacabuco","24/12",18,1
"Parque Patricios","24/12",18,1
"Villa Crespo","24/12",18,1
"Villa Devoto","24/12",18,1
"Monte Castro","24/12",18,1
"Saavedra","24/12",18,1
"Flores","24/12",18,1
"Villa Urquiza","24/12",18,1
"Palermo","24/12",19,2
"Almirante Brown","24/12",19,2
"Boedo","24/12",19,2
"Barracas","24/12",19,2
"La Matanza","24/12",19,2
"Recoleta","24/12",19,1
"Chacarita","24/12",19,1
"Parque Chacabuco","24/12",19,1
"Paternal","24/12",19,1
"Saavedra","24/12",19,1
"Parque Chas","24/12",19,1
"Monte Castro","24/12",19,1
"Villa Santa Rita","24/12",19,1
"Balvanera","24/12",19,1
"Villa Crespo","24/12",19,1
"Nueva Pompeya","24/12",19,1
"Palermo","24/12",20,8
"Caballito","24/12",20,3
"Villa Crespo","24/12",20,3
"Lanús","24/12",20,2
"San Fernando","24/12",20,2
"San Isidro","24/12",20,2
"Recoleta","24/12",20,1
"San Cristóbal","24/12",20,1
"General San Martín","24/12",20,1
"Villa Urquiza","24/12",20,1
"Parque Chas","24/12",20,1
"Balvanera","24/12",20,1
"Monte Castro","24/12",20,1
"Esteban Echeverría","24/12",20,1
"Lomas de Zamora","24/12",20,1
"Belgrano","24/12",20,1
"Florencio Varela","24/12",20,1
"Rosario","24/12",20,1
"Villa Gral. Mitre","24/12",20,1
"Colegiales","24/12",21,1
"Recoleta","24/12",21,1
"Almagro","24/12",21,1
"Villa Crespo","24/12",21,1
"Parque Avellaneda","24/12",21,1
"Esteban Echeverría","24/12",21,1
"Belgrano","24/12",21,1
"Villa Devoto","24/12",21,1
"Floresta","24/12",21,1
"Palermo","24/12",21,1
"Vélez Sársfield","24/12",21,1
"Villa Ortúzar","24/12",21,1
"Lanús","24/12",22,1
"Villa Luro","24/12",22,1
"Avellaneda","24/12",22,1
"Flores","24/12",22,1
"Balvanera","24/12",23,1
"San Isidro","24/12",23,1
"Quilmes","24/12",23,1
"Belgrano","24/12",23,1
"Caballito","24/12",23,1
"Esteban Echeverría","25/12",0,1
"San Cristóbal","25/12",0,1
"Ezeiza","25/12",0,1
"Caballito","25/12",1,1
"Quilmes","25/12",1,1
"Recoleta","25/12",1,1
"Quilmes","25/12",2,1
"Tigre","25/12",2,1
"Villa del Parque","25/12",2,1
"Villa Crespo","25/12",3,2
"Avellaneda","25/12",3,1
"Palermo","25/12",3,1
"Lomas de Zamora","25/12",3,1
"Villa Lugano","25/12",3,1
"La Matanza","25/12",4,1
"Flores","25/12",4,1
"Belgrano","25/12",7,1
"Villa Devoto","25/12",8,1
"Villa Crespo","25/12",9,1
"Colegiales","25/12",10,1
"Almagro","25/12",10,1
"Belgrano","25/12",10,1
"Morón","25/12",11,1
"Villa Santa Rita","25/12",11,1
"Flores","25/12",11,1
"Balvanera","25/12",12,1
"Lanús","25/12",12,1
"Villa Urquiza","25/12",12,1
"Parque Chas","25/12",12,1
"Belgrano","25/12",12,1
"Caballito","25/12",12,1
"Almagro","25/12",12,1
"Flores","25/12",13,1
"Lomas de Zamora","25/12",13,1
"Almagro","25/12",13,1
"Parque Chacabuco","25/12",13,1
"Flores","25/12",14,1
"La Matanza","25/12",15,1
"Palermo","25/12",16,1
"Saavedra","25/12",16,1
"Villa Crespo","25/12",17,1
"Monte Castro","25/12",18,1
"Vélez Sársfield","25/12",18,1
"Barracas","25/12",18,1
"Flores","25/12",18,1
"Liniers","25/12",18,1
"Villa del Parque","25/12",19,2
"Quilmes","25/12",19,1
"Almirante Brown","25/12",19,1
"Villa Gral. Mitre","25/12",19,1
"Tres de Febrero","25/12",19,1
"Belgrano","25/12",19,1
"Mataderos","25/12",19,1
"Flores","25/12",19,1
"Villa Lugano","25/12",19,1
"San Nicolás","25/12",20,2
"Parque Avellaneda","25/12",20,1
"Balvanera","25/12",20,1
"Recoleta","25/12",20,1
"Avellaneda","25/12",20,1
"Villa Urquiza","25/12",20,1
"Villa Devoto","25/12",20,1
"Floresta","25/12",20,1
"Rosario","25/12",20,1
"Flores","25/12",21,1
"Caballito","25/12",21,1
"San Fernando","25/12",21,1
"Villa del Parque","25/12",21,1
"Vélez Sársfield","25/12",21,1
"Lanús","25/12",21,1
"Retiro","25/12",21,1
"Morón","25/12",21,1
"Recoleta","25/12",21,1
"Villa Devoto","25/12",22,3
"Parque Avellaneda","25/12",22,1
"Villa Luro","25/12",22,1
"Morón","25/12",22,1
"San Cristóbal","25/12",22,1
"Monte Castro","25/12",22,1
"Vélez Sársfield","25/12",22,1
"Villa Santa Rita","25/12",23,2
"Liniers","25/12",23,1
"Monte Castro","25/12",23,1
"Palermo","25/12",23,1
"Villa Urquiza","25/12",23,1
"Monserrat","25/12",23,1
"Quilmes","25/12",23,1
"Villa Gral. Mitre","25/12",23,1
"Lomas de Zamora","25/12",23,1
"Parque Avellaneda","25/12",23,1
"Caballito","26/12",0,1
"Vélez Sársfield","26/12",0,1
"Floresta","26/12",0,1
"Villa Luro","26/12",0,1
"Belgrano","26/12",0,1
"Caballito","26/12",1,1
"Avellaneda","26/12",1,1
"Villa Lugano","26/12",1,1
"Hurlingham","26/12",1,1
"Palermo","26/12",1,1
"La Matanza","26/12",1,1
"Villa Santa Rita","26/12",1,1
"San Isidro","26/12",1,1
"La Matanza","26/12",2,1
"Balvanera","26/12",2,1
"Almagro","26/12",2,1
"Belgrano","26/12",2,1
"Floresta","26/12",2,1
"Colegiales","26/12",2,1
"Villa Gral. Mitre","26/12",3,1
"Morón","26/12",3,1
"Belgrano","26/12",3,1
"Parque Chacabuco","26/12",5,1
"Berazategui","26/12",6,1
"Palermo","26/12",8,2
"Villa Urquiza","26/12",8,1
"Quilmes","26/12",8,1
"Morón","26/12",8,1
"Villa Urquiza","26/12",9,2
"Villa Crespo","26/12",9,2
"Quilmes","26/12",9,1
"Boedo","26/12",9,1
"Parque Avellaneda","26/12",9,1
"Esteban Echeverría","26/12",9,1
"Recoleta","26/12",9,1
"Palermo","26/12",9,1
"San Isidro","26/12",9,1
"Avellaneda","26/12",10,12
"Lomas de Zamora","26/12",10,8
"Almagro","26/12",10,6
"Caballito","26/12",10,5
"San Isidro","26/12",10,4
"Quilmes","26/12",10,4
"Villa Crespo","26/12",10,4
"Palermo","26/12",10,4
"Lanús","26/12",10,4
"La Matanza","26/12",10,3
"Balvanera","26/12",10,3
"San Nicolás","26/12",10,3
"Villa Riachuelo","26/12",10,3
"Colegiales","26/12",10,3
"Villa Urquiza","26/12",10,3
"Villa Devoto","26/12",10,3
"Villa Santa Rita","26/12",10,2
"Recoleta","26/12",10,2
"Almirante Brown","26/12",10,2
"General San Martín","26/12",10,2
"Parque Chacabuco","26/12",10,2
"Boedo","26/12",10,2
"La Plata","26/12",10,2
"Mataderos","26/12",10,2
"Esteban Echeverría","26/12",10,2
"Vicente López","26/12",10,2
"Flores","26/12",10,1
"Villa Real","26/12",10,1
"Córdoba","26/12",10,1
"Villa Lugano","26/12",10,1
"Rosario","26/12",10,1
"Boca","26/12",10,1
"Villa Pueyrredón","26/12",10,1
"San Telmo","26/12",10,1
"Monserrat","26/12",10,1
"Barracas","26/12",10,1
"Villa del Parque","26/12",10,1
"Morón","26/12",10,1
"Hurlingham","26/12",10,1
"Belgrano","26/12",10,1
"San Miguel","26/12",10,1
"Almagro","26/12",11,5
"Palermo","26/12",11,5
"Balvanera","26/12",11,3
"Caballito","26/12",11,3
"Villa Devoto","26/12",11,3
"Villa Urquiza","26/12",11,3
"Lanús","26/12",11,3
"Colegiales","26/12",11,3
"Villa Pueyrredón","26/12",11,2
"San Isidro","26/12",11,2
"Vicente López","26/12",11,2
"Villa Crespo","26/12",11,2
"Villa Riachuelo","26/12",11,2
"Córdoba","26/12",11,2
"Parque Patricios","26/12",11,2
"Quilmes","26/12",11,2
"Tres de Febrero","26/12",11,2
"Mataderos","26/12",11,1
"Flores","26/12",11,1
"Villa Ortúzar","26/12",11,1
"Versalles","26/12",11,1
"Monserrat","26/12",11,1
"La Plata","26/12",11,1
"Chacarita","26/12",11,1
"Florencio Varela","26/12",11,1
"Núñez","26/12",11,1
"La Matanza","26/12",11,1
"Mendoza","26/12",11,1
"Tigre","26/12",11,1
"Villa Gral. Mitre","26/12",11,1
"San Nicolás","26/12",11,1
"Avellaneda","26/12",11,1
"Belgrano","26/12",11,1
"Agronomía","26/12",11,1
"Lomas de Zamora","26/12",11,1
"Almagro","26/12",12,5
"Villa Crespo","26/12",12,4
"Palermo","26/12",12,4
"Caballito","26/12",12,3
"Vicente López","26/12",12,3
"La Matanza","26/12",12,2
"San Nicolás","26/12",12,2
"La Plata","26/12",12,2
"Flores","26/12",12,2
"Villa Urquiza","26/12",12,2
"Belgrano","26/12",12,2
"Esteban Echeverría","26/12",12,2
"San Fernando","26/12",12,2
"Colegiales","26/12",12,2
"Quilmes","26/12",12,2
"Parque Patricios","26/12",12,1
"Malvinas Argentinas","26/12",12,1
"Avellaneda","26/12",12,1
"Villa Ortúzar","26/12",12,1
"San Miguel","26/12",12,1
"Villa del Parque","26/12",12,1
"Liniers","26/12",12,1
"Parque Chacabuco","26/12",12,1
"Núñez","26/12",12,1
"Ituzaingó","26/12",12,1
"Recoleta","26/12",12,1
"Villa Lugano","26/12",12,1
"General San Martín","26/12",12,1
"Lomas de Zamora","26/12",12,1
"Chacarita","26/12",12,1
"Balvanera","26/12",12,1
"Parque Avellaneda","26/12",12,1
"Tres de Febrero","26/12",12,1
"Palermo","26/12",13,8
"Caballito","26/12",13,4
"Recoleta","26/12",13,4
"Villa del Parque","26/12",13,4
"Villa Urquiza","26/12",13,4
"Belgrano","26/12",13,4
"Balvanera","26/12",13,3
"Almagro","26/12",13,3
"Tres de Febrero","26/12",13,3
"Vicente López","26/12",13,2
"Villa Santa Rita","26/12",13,2
"La Matanza","26/12",13,2
"Villa Gral. Mitre","26/12",13,2
"Lanús","26/12",13,2
"Villa Devoto","26/12",13,2
"Colegiales","26/12",13,1
"Parque Chacabuco","26/12",13,1
"Mendoza","26/12",13,1
"Saavedra","26/12",13,1
"San Nicolás","26/12",13,1
"Villa Crespo","26/12",13,1
"San Cristóbal","26/12",13,1
"Mataderos","26/12",13,1
"Ituzaingó","26/12",13,1
"Villa Lugano","26/12",13,1
"Agronomía","26/12",13,1
"Córdoba","26/12",13,1
