"barrio","cortes"
"Palermo",1275
"Caballito",1194
"Almagro",828
"Belgrano",752
"Flores",681
"Recoleta",677
"Villa Crespo",619
"La Matanza",557
"Villa Urquiza",556
"Lanús",538
"Balvanera",538
"Vicente López",504
"Avellaneda",473
"Lomas de Zamora",438
"Villa del Parque",399
"San Isidro",392
"Quilmes",373
"Tres de Febrero",365
"Villa Devoto",334
"Parque Chacabuco",326
"Núñez",302
"Morón",290
"San Cristóbal",274
"Almirante Brown",268
"Saavedra",264
"General San Martín",256
"Colegiales",248
"Villa Santa Rita",237
"Boedo",235
"Monte Castro",227
"Villa Gral. Mitre",216
"Mataderos",214
"Parque Avellaneda",201
"San Nicolás",192
"San Fernando",192
"La Plata",185
"Barracas",181
"Villa Lugano",170
"Liniers",167
"Rosario",161
"Floresta",153
"Villa Pueyrredón",152
"Monserrat",151
"Tigre",142
"Vélez Sársfield",141
"Chacarita",140
"Villa Ortúzar",128
"Parque Patricios",125
"Villa Luro",123
"Esteban Echeverría",121
"Berazategui",120
"Constitución",117
"Paternal",117
"Nueva Pompeya",116
"Versalles",111
"Ituzaingó",108
"Parque Chas",104
"Boca",98
"Merlo",96
"Coghlan",96
"Retiro",93
"Moreno",86
"Hurlingham",86
"San Telmo",82
"Villa Real",79
"San Miguel",77
"Malvinas Argentinas",64
"Agronomía",60
"Florencio Varela",56
"Córdoba",56
"Villa Riachuelo",45
"Ezeiza",45
"Puerto Madero",41
"Villa Soldati",30
"José C. Paz",29
"Mendoza",12
