"dia","hora","cantidad"
"1",3,3
"1",9,2
"1",10,1
"1",11,1
"1",12,0
"1",13,0
"1",14,0
"1",15,5
"1",16,6
"1",17,13
"1",18,13
"1",19,21
"1",20,33
"1",21,12
"1",22,4
"1",23,5
"1",24,3
"2",1,3
"2",2,3
"2",3,6
"2",4,2
"2",7,1
"2",8,1
"2",9,1
"2",10,3
"2",11,3
"2",12,7
"2",13,4
"2",14,1
"2",15,1
"2",16,2
"2",17,1
"2",18,5
"2",19,10
"2",20,10
"2",21,9
"2",22,9
"2",23,11
"2",24,5
"3",1,8
"3",2,6
"3",3,3
"3",5,1
"3",6,1
"3",8,5
"3",9,11
"3",10,107
"3",11,64
"3",12,57
"3",13,72
"3",14,173
"3",15,216
"3",16,250
"3",17,242
"3",18,138
"3",19,130
"3",20,119
"3",21,67
"3",22,110
"3",23,125
"3",24,71
"4",1,49
"4",2,22
"4",3,7
"4",4,5
"4",5,1
"4",6,10
"4",7,16
"4",8,26
"4",9,99
"4",10,112
"4",11,120
"4",12,160
"4",13,207
"4",14,277
"4",15,280
"4",16,388
"4",17,406
"4",18,456
"4",19,246
"4",20,1058
"4",21,778
"4",22,698
"4",23,1394
"4",24,837
"5",1,432
"5",2,233
"5",3,138
"5",4,69
"5",5,43
"5",6,60
"5",7,87
"5",8,124
"5",9,217
"5",10,271
"5",11,340
"5",12,335
"5",13,465
"5",14,579
"5",15,517
"5",16,536
"5",17,409
"5",18,422
"5",19,740
"5",20,742
"5",21,510
"5",22,439
"5",23,336
"5",24,265
"6",1,191
"6",2,136
"6",3,90
"6",4,46
"6",5,19
"6",6,21
"6",7,39
"6",8,38
"6",9,91
"6",10,130
"6",11,131
"6",12,124
"6",13,117
"6",14,141
"6",15,135
"6",16,93
